module folder name,modulename,source,profiles,blank
dwarfs,,,['SS Safari'],
omega_centauri,,,[],
galactichalo,,,['SS Safari'],
Presidpano,,,[],
m2-9,,,[],
messenger15,,,[],
KeelingCurve,,,[],
voyagers,,,['SS Safari'],
hd160691,,,[],
Stardestroyer,,,[],
SWEEPS4,,,[],
vanallen,,,[],
hd131399,,,[],
ap_sdss_ell,,,[],
HaumeaFamily,,,[],
titanHighres,,,[],
scholz,,,[],
Kuat,,,[],
starkiller,,,[],
C2013_R1_Lovejoy,,,[],
kep452,,,[],
CAS_RedGiants,,,[],
moon,,,"['3DRainforest_V2', '3DRainforest_V3', 'KSC_show', 'SS Safari', 'SS Safari']",
HR8799gif,,,[],
tardigrade,,,[],
earthwater,,,[],
earthquakes_updated,,,[],
orion,,,[],
45eugenia,,,[],
LSRJ18353259,,,[],
dscovr,,,[],
HR8799,,,[],
mwpoly_HURT,,,[],
1998QE2,,,[],
Moises_Panobubble_2,,,[],
335PGibbs,,,[],
Kep_10,,,[],
LunarShadowDiagram,,,[],
makemake,,,"['SS Safari', 'SS Safari']",
CAS_logo,,,[],
624hektor,,,[],
shuttle,,,[],
3DRainforest_Audio,,,"['3DRainforest_V2', '3DRainforest_V3', 'SS Safari', 'SS Safari']",
ngc6543,,,['KSC_show'],
sky_images,,,[],
constellations_inuit,,,[],
tw_hydrae,,,[],
spitzer,,,[],
crater2dwarf,,,[],
SaturnRingDetails,,,"['SS Safari', 'SS Safari']",
water251,,,[],
v404cyg,,,[],
arecibomsg,,,[],
hawc,,,[],
planetscales,,,[],
pioneers,,,['SS Safari'],
cobe_craft,,,[],
arrakis,,,[],
asteroids_hypothetical_v003,,,[],
starmarkers,,,[],
neapha,,,[],
lhc,,,[],
eva_ksc,,,['KSC_show'],
volcanoes,,,[],
UA,,,[],
kic8462852,,,[],
alpha_cent,,,[],
neptune,,,"['3DRainforest_V2', '3DRainforest_V3', 'KSC_show', 'SS Safari', 'SS Safari']",
galaxyadjusted,,,['KSC_show'],
dragon,,,[],
akatsuki,,,[],
HD7924,,,[],
deathstar,,,[],
plutinos,,,[],
pioneerpulsars,,,[],
Mites_Panobubble,,,[],
enceladusHires,,,[],
MarsScienceLaboratory,,,[],
crabneb,,,[],
transpo_slides,,,[],
gama,,,[],
Cygnusx1,,,[],
ibexmap,,,[],
hip116454,,,[],
Hi_Res_Galaxies,,,[],
GLIMPSE,,,[],
eneb,,,['KSC_show'],
movinggroups,,,[],
saturn_wms,,,[],
SolarSail,,,[],
exomars,,,[],
irbkgrnd,,,[],
galaxy,,,['SS Safari'],
ISON_c,,,[],
B612_audio,,,[],
rosetta,,,[],
FutureSpaceFlight_Slides,,,[],
councilgiants,,,[],
lisapathfinder,,,[],
enceladusGeysers,,,['SS Safari'],
gj411,,,[],
macrocosmica,,,[],
mwH,,,['SS Safari'],
WR104,,,[],
HaumeaMoons,,,[],
sputnik,,,[],
asteroids_particles,,,['SS Safari'],
1P-Halley,,,[],
whaleprobe,,,[],
wfirst,,,[],
smallstuff,,,[],
planck_craft,,,[],
MFalcon,,,[],
10pcstars,,,[],
constellations_hevelius,,,[],
2dfquasars,,,"['3DRainforest_V2', '3DRainforest_V3', 'KSC_show', 'SS Safari']",
water8_42,,,[],
